characteristic_id,local_language_id,message
1,1,たべるのが　だいすき
1,3,먹는 것을 제일 좋아함
1,4,非常喜歡吃東西
1,5,Il adore manger
1,6,Liebt es zu essen
1,7,Le encanta comer
1,8,Adora mangiare
1,9,Loves to eat
1,11,食べるのが　大好き
1,12,非常喜欢吃东西
2,1,ちからが　じまん
2,3,힘자랑이 특기임
2,4,以力氣大為傲
2,5,Il est fier de sa puissance
2,6,Ist stolz auf seine Stärke
2,7,Se enorgullece de su fuerza
2,8,La forza è il suo vanto
2,9,Proud of its power
2,11,力が　自慢
2,12,以力气大为傲
3,1,からだが　じょうぶ
3,3,몸이 튼튼함
3,4,身體強壯
3,5,Il a un corps robuste
3,6,Hat einen robusten Körper
3,7,Se caracteriza por su cuerpo resistente
3,8,Ha un corpo robusto
3,9,Sturdy body
3,11,体が　丈夫
3,12,身体强壮
4,1,こうきしんが　つよい
4,3,호기심이 강함
4,4,好奇心強
4,5,Il est extrêmement curieux
4,6,Ist sehr neugierig
4,7,Siente mucha curiosidad por todo
4,8,È un grande ficcanaso
4,9,Highly curious
4,11,好奇心が　強い
4,12,好奇心强
5,1,きが　つよい
5,3,기가 센 성격임
5,4,性格強勢
5,5,Il est très volontaire
5,6,Besitzt einen starken Willen
5,7,Se distingue por su gran fuerza de voluntad
5,8,Sa il fatto suo
5,9,Strong willed
5,11,気が　強い
5,12,性格强势
6,1,かけっこが　すき
6,3,달리기를 좋아함
6,4,喜歡比誰跑得快
6,5,Il aime la vitesse
6,6,Ist gerne schnell unterwegs
6,7,Le gusta ir muy rápido
6,8,Adora andare veloce
6,9,Likes to run
6,11,駆けっこが　好き
6,12,喜欢比谁跑得快
7,1,ひるねを　よくする
7,3,낮잠을 잘 잠
7,4,經常睡午覺
7,5,Il s’assoupit souvent
7,6,Nickt oft ein
7,7,A menudo se duerme
7,8,Si addormenta spesso
7,9,Takes plenty of siestas
7,11,昼寝を　よくする
7,12,经常睡午觉
8,1,あばれることが　すき
8,3,난동부리기를 좋아함
8,4,喜歡胡鬧
8,5,Il aime se démener
8,6,Prügelt sich gern
8,7,Le gusta revolverse
8,8,Adora dimenarsi
8,9,Likes to thrash about
8,11,暴れることが　好き
8,12,喜欢胡闹
9,1,うたれ　づよい
9,3,맷집이 강함
9,4,抗打能力強
9,5,Il sait encaisser les coups
9,6,Kann Treffer gut verkraften
9,7,Encaja bien los ataques
9,8,È forte in attacco
9,9,Capable of taking hits
9,11,打たれ強い
9,12,抗打能力强
10,1,イタズラが　すき
10,3,장난을 좋아함
10,4,喜歡惡作劇
10,5,Il est coquin
10,6,Ist hinterhältig
10,7,Le gusta hacer travesuras
10,8,È alquanto vivace
10,9,Mischievous
10,11,イタズラが　好き
10,12,喜欢恶作剧
11,1,ちょっぴり　みえっぱり
11,3,조금 겉치레를 좋아함
