species_id,version_id,language_id,flavor_text
1,1,9,"A strange seed was
planted on its
back at birth.The plant sprouts
and grows with
this POKéMON."
1,2,9,"A strange seed was
planted on its
back at birth.The plant sprouts
and grows with
this POKéMON."
1,3,9,"It can go for days
without eating a
single morsel.In the bulb on
its back, it
stores energy."
1,4,9,"The seed on its
back is filled
with nutrients.The seed grows
steadily larger as
its body grows."
1,5,9,"It carries a seed
on its back right
from birth. As itgrows older, the
seed also grows
larger."
1,6,9,"While it is young,
it uses the
nutrients that arestored in the
seeds on its back
in order to grow."
1,7,9,"BULBASAUR can be seen napping in
bright sunlight.
There is a seed on its back.By soaking up the sun’s rays, the seed
grows progressively larger."
1,8,9,"BULBASAUR can be seen napping in
bright sunlight.
There is a seed on its back.By soaking up the sun’s rays, the seed
grows progressively larger."
1,9,9,"BULBASAUR can be seen napping in bright
sunlight. There is a seed on its back.
By soaking up the sun’s rays, the seed
grows progressively larger."
1,10,9,"There is a plant seed on its back right
from the day this POKéMON is born.
The seed slowly grows larger."
1,11,9,"A strange seed was planted on its back at
birth. The plant sprouts and grows with
this POKéMON."
1,12,9,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,13,9,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,14,9,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,15,9,"The seed on its back is filled
with nutrients. The seed grows
steadily larger as its body grows."
1,16,9,"It carries a seed on its back right
from birth. As it grows older, the
seed also grows larger."
1,17,5,"Au matin de sa vie, la graine sur
son dos lui fournit les éléments
dont il a besoin pour grandir."
1,17,9,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,18,5,"Au matin de sa vie, la graine sur
son dos lui fournit les éléments
dont il a besoin pour grandir."
1,18,9,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,21,9,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,22,9,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,23,1,"うまれたときから　せなかに
ふしぎな　タネが　うえてあって
からだと　ともに　そだつという。"
1,23,3,"태어났을 때부터 등에
이상한 씨앗이 심어져 있으며
몸과 함께 자란다고 한다."
1,23,5,"Il a une étrange graine plantée sur son dos.
Elle grandit avec lui depuis sa naissance."
1,23,6,"Dieses Pokémon trägt von Geburt an einen Samen
auf dem Rücken, der mit ihm keimt und wächst."
1,23,7,"Una rara semilla le fue plantada en el lomo al nacer.
La planta brota y crece con este Pokémon."
1,23,8,"Alla nascita gli è stato piantato sulla schiena un seme
raro. La pianta sboccia e cresce con lui."
1,23,9,"A strange seed was planted on its back at birth.
The plant sprouts and grows with this Pokémon."
1,23,11,"生まれたときから　背中に
不思議な　タネが　植えてあって
体と　ともに　育つという。"
1,23,14,"Una rara semilla le fue plantada en el lomo al nacer.
La planta brota y crece con este Pokémon."
1,24,1,"うまれてから　しばらくの　あいだは
せなかの　タネから　えいようを
もらって　おおきく　そだつ。"
1,24,3,"태어나서부터 얼마 동안은
등의 씨앗으로부터 영양을
공급받아 크게 성장한다."
1,24,5,"Au matin de sa vie, la graine sur son dos lui fournit
les éléments dont il a besoin pour grandir."
1,24,6,"Nach der Geburt nimmt es für eine Weile Nährstoffe
über den Samen auf seinem Rücken auf."
1,24,7,"Después de nacer, crece alimentándose de las
semillas de su lomo."
